source_rank,name,ticker,yahoo_ticker,type,asset_class,country,region,market_region,exchange_hint,sector,industry,sector_source,currency,source_group,source_url,as_of,display_label
1,ASML,ASML,ASML,Stock,Equity,Netherlands,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Technology,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,ASML (ASML) - Netherlands - Technology
2,LVMH,MC.PA,MC.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Consumer Discretionary,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,LVMH (MC.PA) - France - Consumer Discretionary
3,Siemens,SIE.DE,SIE.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Siemens (SIE.DE) - Germany - Industrials
4,L'Oréal,OR.PA,OR.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Consumer Staples,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,L'Oréal (OR.PA) - France - Consumer Staples
5,Seagate Technology,STX,STX,Stock,Equity,Ireland,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Technology,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Seagate Technology (STX) - Ireland - Technology
6,Novo Nordisk,NVO,NVO,Stock,Equity,Denmark,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Healthcare,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Novo Nordisk (NVO) - Denmark - Healthcare
7,Santander,SAN,SAN,Stock,Equity,Spain,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Santander (SAN) - Spain - Financials
8,Inditex,ITX.MC,ITX.MC,Stock,Equity,Spain,Europe,Europe,Bolsa de Madrid,Consumer Discretionary,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Inditex (ITX.MC) - Spain - Consumer Discretionary
9,Prosus,PRX.AS,PRX.AS,Stock,Equity,Netherlands,Europe,Europe,Euronext Amsterdam,Communication Services,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Prosus (PRX.AS) - Netherlands - Communication Services
10,Hermès,RMS.PA,RMS.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Consumer Discretionary,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Hermès (RMS.PA) - France - Consumer Discretionary
11,SAP,SAP,SAP,Stock,Equity,Germany,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Technology,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,SAP (SAP) - Germany - Technology
12,Schneider Electric,SU.PA,SU.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Schneider Electric (SU.PA) - France - Industrials
13,Airbus,AIR.PA,AIR.PA,Stock,Equity,Netherlands,Europe,Europe,Euronext Paris,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Airbus (AIR.PA) - Netherlands - Industrials
14,Allianz SE,ALV.DE,ALV.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Allianz SE (ALV.DE) - Germany - Financials
15,TotalEnergies,TTE,TTE,Stock,Equity,France,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Energy,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,TotalEnergies (TTE) - France - Energy
16,Safran,SAF.PA,SAF.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Safran (SAF.PA) - France - Industrials
17,Eaton,ETN,ETN,Stock,Equity,Ireland,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Eaton (ETN) - Ireland - Industrials
18,Siemens Energy,ENR.F,ENR.F,Stock,Equity,Germany,Europe,Europe,Frankfurt,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Siemens Energy (ENR.F) - Germany - Industrials
19,Iberdrola,IBE.MC,IBE.MC,Stock,Equity,Spain,Europe,Europe,Bolsa de Madrid,Utilities,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Iberdrola (IBE.MC) - Spain - Utilities
20,Anheuser-Busch Inbev,BUD,BUD,Stock,Equity,Belgium,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Consumer Staples,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Anheuser-Busch Inbev (BUD) - Belgium - Consumer Staples
21,Banco Bilbao Vizcaya Argentaria,BBVA,BBVA,Stock,Equity,Spain,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Banco Bilbao Vizcaya Argentaria (BBVA) - Spain - Financials
22,Deutsche Telekom,DTE.DE,DTE.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Communication Services,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Deutsche Telekom (DTE.DE) - Germany - Communication Services
23,UniCredit,UCG.MI,UCG.MI,Stock,Equity,Italy,Europe,Europe,Borsa Italiana,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,UniCredit (UCG.MI) - Italy - Financials
24,Air Liquide,AI.PA,AI.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Materials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Air Liquide (AI.PA) - France - Materials
25,BNP Paribas,BNP.PA,BNP.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,BNP Paribas (BNP.PA) - France - Financials
26,Investor AB,INVE-B.ST,INVE-B.ST,Stock,Equity,Sweden,Europe,Europe,Nasdaq Stockholm,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Investor AB (INVE-B.ST) - Sweden - Financials
27,Infineon,IFX.DE,IFX.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Technology,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Infineon (IFX.DE) - Germany - Technology
28,Intesa Sanpaolo,ISP.MI,ISP.MI,Stock,Equity,Italy,Europe,Europe,Borsa Italiana,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Intesa Sanpaolo (ISP.MI) - Italy - Financials
